seed,n_true,n_assumed,delta_n,delta_n_over_n,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,scale_bias_frac,scale_bias_pct,scale_bias_pct_control,bias_over_control,holdout_floor_pct,scale_bias_over_floor,num_comparisons,num_frames,degenerate_observations_at_solution,degenerate_observations_cause_above_interface,degenerate_observations_cause_behind_camera,degenerate_observations_cause_interface_below_camera,degenerate_observations_fate_extended,degenerate_observations_fate_penalized
46,1.333,1.329,-0.0040000000000000036,-0.0030007501875468894,0.7066831998041798,0.38030900745325236,0.5446900515885631,0.031361742514134504,1.0005226957085689,0.05226957085688877,0.05629043108470455,0.004020860227815781,1.0468976610769782,0.04992806154817209,4690,30,0,0,0,0,0,0
46,1.333,1.331,-0.0020000000000000018,-0.0015003750937734447,0.7064483102693744,0.38070969431419593,0.5454243515047842,0.03256375247722304,1.0005427292079536,0.054272920795361834,0.05629043108470455,0.0020175102893427166,1.0468976610769782,0.05184166782790353,4690,30,0,0,0,0,0,0
46,1.333,1.333,0.0,0.0,0.7063600146601055,0.3811339218581499,0.5461861101445209,0.033774258650822786,1.000562904310847,0.05629043108470455,0.05629043108470455,0.0,1.0468976610769782,0.05376880012015379,4690,30,0,0,0,0,0,0
46,1.333,1.335,0.0020000000000000018,0.0015003750937734447,0.7064175101142207,0.3815717874705842,0.546975515547156,0.03499172735860655,1.0005831954559767,0.058319545597673716,0.05629043108470455,0.0020291145129691657,1.0468976610769782,0.05570701680399063,4690,30,0,0,0,0,0,0
46,1.333,1.337,0.0040000000000000036,0.0030007501875468894,0.7066197207502418,0.3820244767720027,0.5477923325250788,0.03621711957745101,1.000603618659624,0.060361865962410555,0.05629043108470455,0.004071434877706004,1.0468976610769782,0.05765784775974598,4690,30,0,0,0,0,0,0
46,1.333,1.339,0.006000000000000005,0.004501125281320334,0.7069653421079443,0.38249402299544744,0.5486355461748034,0.03744927521499404,1.0006241545869166,0.06241545869165588,0.05629043108470455,0.006125027606951328,1.0468976610769782,0.05961944611419519,4690,30,0,0,0,0,0,0
46,1.333,1.341,0.008000000000000007,0.006001500375093779,0.7074538222600838,0.38299065839455965,0.5495052788923164,0.03869086389827526,1.0006448477316379,0.06448477316378654,0.05629043108470455,0.008194342079081984,1.0468976610769782,0.061596061927819114,4690,30,0,0,0,0,0,0
46,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.70808390220373,0.383526021639951,0.5504026613034434,0.03994351626502377,1.0006657252710838,0.06657252710837724,0.05629043108470455,0.010282096023672693,1.0468976610769782,0.06359029118461482,4690,30,0,0,0,0,0,0
47,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.7095901993664601,0.37355488206573906,0.5197549918938306,0.025051518214896956,1.0004175253035816,0.0417525303581634,0.05485040153074827,0.013097871172584874,1.0468976610769782,0.03988215076840576,4710,30,0,0,0,0,0,0
47,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7086973483030812,0.3738253451837214,0.5202693199385915,0.026606086008732575,1.0004434347668123,0.044343476681230065,0.05485040153074827,0.010506924849518207,1.0468976610769782,0.042357030997292,4710,30,0,0,0,0,0,0
