residual_x_px,residual_y_px,camera,is_auxiliary
-25.874572898680753,-42.92375285358969,e3v8250,True
-25.700355303416018,1.1130794161265385,e3v8250,True
-25.602393720600503,-31.913011397913806,e3v8250,True
-25.536690763207616,1.928141137802129,e3v8250,True
-25.531475983759492,-33.98335414414021,e3v8250,True
-25.429842976197733,-39.60472374367282,e3v8250,True
-25.27813549106736,-26.647039447719294,e3v8250,True
-25.264137546756842,-62.00199190984813,e3v8250,True
-24.9118000274309,-20.31099934471422,e3v8250,True
-24.752715818233355,2.6983221149752126,e3v8250,True
-24.6930647386514,3.807176293938028,e3v8250,True
-24.605650585154308,-26.214432696563108,e3v8250,True
-24.533354424345703,-56.95694469903856,e3v8250,True
-24.501802628058385,-5.854126777877127,e3v8250,True
-24.413073817791428,-45.577164803492224,e3v8250,True
-24.20520705432773,29.770859199016456,e3v8250,True
-24.190832043294222,17.454410809101603,e3v8250,True
-24.083980441866288,-1.444185844975891,e3v8250,True
-24.057811044886876,2.9378881367608187,e3v8250,True
-23.936755380472277,-7.373476929377944,e3v8250,True
-23.776780510679373,-0.30744881253974654,e3v8250,True
-23.763100098261702,-1.9029229644366978,e3v8250,True
-23.756208273191532,6.040888333370901,e3v8250,True
-23.68986758685901,-35.75668653568846,e3v8250,True
-23.549516245263476,-4.31443082353303,e3v8250,True
-23.466663134054443,24.958288073023652,e3v8250,True
-23.039138626320437,5.293211052507218,e3v8250,True
-22.96326140229735,20.618227199576324,e3v8250,True
-22.837309850771362,-0.5030250935725462,e3v8250,True
-22.71621065958584,8.453821620021131,e3v8250,True
-22.5380100500538,-28.982998686839437,e3v8250,True
-22.30892932480083,10.693930022174754,e3v8250,True
-22.2365236114822,13.408587420551612,e3v8250,True
-22.183879177551262,1.1642732205815491,e3v8250,True
-22.070974530052354,-18.333872446271357,e3v8250,True
-22.008240724031566,0.626009468801044,e3v8250,True
-21.811250890779775,4.5006719669862605,e3v8250,True
-21.753625333255968,-39.83861564326912,e3v8250,True
-21.74396572267233,-21.743791199719226,e3v8250,True
-21.596704760752118,-31.127298430544442,e3v8250,True
-21.572076517498544,-39.90638229330318,e3v8250,True
-21.466077946146697,9.476494786705587,e3v8250,True
-21.43319793564342,-24.698808447015153,e3v8250,True
-21.40016135099495,2.0524631333596517,e3v8250,True
-21.280708103336565,-26.292512741149267,e3v8250,True
-21.27827083925922,1.5132372302061867,e3v8250,True
-21.250911618820055,-19.828603592025274,e3v8250,True
-21.24057015477672,-64.41250463076449,e3v8250,True
-20.935855105160954,-2.291719385965621,e3v8250,True
-20.87972526932458,-15.205879712372166,e3v8250,True
-20.648016463624117,2.188304613918035,e3v8250,True
-20.59426521757689,-49.91678480246162,e3v8250,True
-20.51980976113282,-3.1376511272621883,e3v8250,True
-20.423642572750623,5.956643407887839,e3v8250,True
-20.421227395597498,-0.9691258126952107,e3v8250,True
-20.352792272132774,-7.637160795677346,e3v8250,True
-20.29703523221201,-19.74167449232482,e3v8250,True
-20.27451714978133,-25.78154032878183,e3v8250,True
-20.170790750622928,-3.037704535063085,e3v8250,True
-20.116045198617485,2.681014791036773,e3v8250,True
-20.077823503029776,-3.647450200229059,e3v8250,True
-19.896099791432334,-17.0362541507194,e3v8250,True
