test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,seed
1.2,non_refractive,0.17515660459116159,0.7670898957889337,1.002919276743186,1.1289374306521345,2.0100206107518,2.7511578163591124,33.40054822657491,12.140542439247366,4247,48
1.2,refractive,0.03104505419930917,0.37787685711601116,1.0005174175699885,1.1289374306521345,2.0100206107518,0.6134272710483336,1.2290744695417386,2.0036188926541816,4247,48
1.3,non_refractive,0.15992066399626076,0.5948411840331974,1.0026653443999376,1.1289374306521345,2.0100206107518,2.968986408282847,12.010115786760366,4.045190558385404,4282,48
1.3,refractive,0.029806249427650235,0.40290027831232167,1.0004967708237942,1.1289374306521345,2.0100206107518,0.6428932609062316,1.286461125672829,2.0010493248279118,4282,48
1.4,non_refractive,0.18957489258491614,0.5011048378363572,1.003159581543082,1.1289374306521345,2.0100206107518,3.31270046613432,11.266283981233132,3.4009365158148643,4294,48
1.4,refractive,0.029429651529993255,0.39076122275679015,1.0004904941921666,1.1289374306521345,2.0100206107518,0.645572090488052,1.2504352745015699,1.9369413469473902,4294,48
1.5,non_refractive,0.1961557616500045,0.48516770957013244,1.0032692626941668,1.1289374306521345,2.0100206107518,3.8078706674475793,32.10003088539882,8.429916267853582,4288,48
1.5,refractive,0.03267757889301329,0.42153217175400165,1.0005446263148836,1.1289374306521345,2.0100206107518,0.6837974202105136,1.4174320121191655,2.0728829478221713,4288,48
1.7,non_refractive,0.2686409709134295,0.48877037649114924,1.0044773495152237,1.1289374306521345,2.0100206107518,4.956205583757948,74.82765867452213,15.097771351483262,4312,48
1.7,refractive,0.03299592559949636,0.39590253887650534,1.0005499320933249,1.1289374306521345,2.0100206107518,0.7138419830273476,1.367325992181601,1.9154463098161854,4312,48
2.0,non_refractive,0.3763568739897006,0.5975705934426965,1.006272614566495,1.1289374306521345,2.0100206107518,6.737053351922743,138.38925855020423,20.541511447390896,4312,48
2.0,refractive,0.025900288362231173,0.38350953464952336,1.000431671472704,1.1289374306521345,2.0100206107518,0.7744102860681189,1.4249077255054259,1.8399907014924228,4312,48
2.5,non_refractive,0.6036393049896589,0.9561615010229864,1.010060655083161,1.1289374306521345,2.0100206107518,9.468502784730791,238.35031429904822,25.172967650537053,4312,48
2.5,refractive,0.030950441705684784,0.4115308975172618,1.0005158406950947,1.1289374306521345,2.0100206107518,0.8835265887198537,1.778932910116571,2.013445812303256,4312,48
1.1,non_refractive,0.2581193473156172,0.9433854929948456,1.004301989121927,1.1964536223602045,2.0479989702551604,14.485678878598579,56.464829984305794,3.897976094701921,4054,49
1.1,refractive,0.026133305346718594,0.4017715112911102,1.000435555089112,1.1964536223602045,2.0479989702551604,0.4602268726538664,1.6359284855169218,3.5546131326131682,4054,49
1.2,non_refractive,0.18170601365632663,0.7866379648264686,1.0030284335609387,1.1964536223602045,2.0479989702551604,15.717407786398585,34.97979348200214,2.225544692698798,4247,49
1.2,refractive,0.023359452340745317,0.37709588584002096,1.0003893242056792,1.1964536223602045,2.0479989702551604,0.446349435914359,1.4816129662123765,3.3194014532072877,4247,49
1.3,non_refractive,0.14954209702137009,0.6035254318616345,1.0024923682836895,1.1964536223602045,2.0479989702551604,16.818654448746397,15.314945955026179,0.9105928183314155,4282,49
1.3,refractive,0.02451944234243758,0.4040729964937379,1.000408657372374,1.1964536223602045,2.0479989702551604,0.49247963503746867,1.4872589792074586,3.019940061266301,4282,49
